"site","treatment","chipping_sparrow_spizella_passerina","eastern_phoebe_sayornis_phoebe","mourning_dove_zenaida_macroura","northern_cardinal_cardinalis_cardinalis","gray_catbird_dumetella_carolinensis","red_shoulder_hawk_buteo_lineatus","pine_warbler_setophaga_pinus","sedge_wren_cistothorus_stellaris","eastern_screech_owl_megascops_asio","barred_owl_strix_varia","richness"
"eight","0",1,1,1,1,0,0,0,0,0,0,4
"eight","4",1,1,1,1,0,0,0,0,0,0,4
"eight","8",1,1,1,1,0,0,0,0,0,0,4
"eight","12",1,1,1,1,0,0,0,0,0,0,4
"five","0",1,1,0,1,1,0,0,0,0,0,4
"five","4",1,1,1,1,0,0,0,0,0,0,4
"five","8",1,1,1,1,1,0,0,0,0,0,5
"five","12",1,1,1,1,1,0,0,0,0,0,5
"four","0",1,1,0,0,0,1,0,0,0,0,3
"four","4",1,1,0,0,0,0,1,0,0,0,3
"four","8",1,1,0,0,0,0,1,0,0,0,3
"four","12",1,1,0,0,0,0,1,0,0,0,3
"nine","0",1,1,0,0,0,0,0,0,0,0,2
"nine","4",1,1,0,0,0,0,0,0,0,0,2
"nine","8",1,1,0,0,0,0,0,0,0,0,2
"nine","12",1,1,0,0,0,0,0,0,0,0,2
"one","0",1,1,0,0,0,0,0,0,0,0,2
"one","4",1,1,0,0,0,0,0,0,0,0,2
"one","8",1,1,0,0,0,0,0,1,0,0,3
"one","12",1,1,0,0,0,0,1,0,0,0,3
"seven","0",0,1,0,0,0,0,0,0,0,0,1
"seven","4",1,1,0,0,0,0,0,0,0,0,2
"seven","8",0,1,0,0,0,0,0,0,1,0,2
"seven","12",0,1,0,0,0,0,0,0,0,0,1
"six","0",0,1,0,0,0,0,0,0,0,1,2
"six","8",0,1,0,0,0,0,0,0,0,1,2
"six","12",0,0,0,0,0,0,0,0,0,1,1
"ten","0",0,1,0,0,0,0,0,0,0,0,1
"ten","4",0,1,0,0,0,0,0,0,0,0,1
"ten","8",0,1,0,0,0,0,0,0,0,0,1
"ten","12",0,1,0,0,0,0,0,0,0,0,1
"three","0",1,1,0,1,0,0,0,0,0,0,3
"three","4",1,1,0,1,0,0,0,0,0,0,3
"three","8",1,1,0,1,0,0,0,0,0,0,3
"three","12",1,1,1,1,0,0,0,0,0,0,4
"two","0",1,1,0,0,0,0,0,0,0,0,2
"two","4",1,1,0,0,0,0,0,0,0,0,2
"two","8",1,1,0,0,0,0,0,0,0,0,2
"two","12",1,1,0,0,0,1,0,0,0,0,3
"six","4",0,0,0,0,0,0,0,0,0,0,0
