id,day,month,year,time,site,treatment,camera,photo number,species,presence,camera card,,notes
196,20,11,2020,pm,one,4,fl26,11200023.AVI,eastern_phoebe_sayornis_phoebe,1,fl26,,
763,26,11,2020,am,two,12,fl48,11260129.AVI,eastern_phoebe_sayornis_phoebe,1,fl48,,
819,21,11,2020,pm,two,4,fl29,11210025.AVI,eastern_phoebe_sayornis_phoebe,1,fl29,,
842,23,11,2020,pm,two,4,fl29,11230048.AVI,eastern_phoebe_sayornis_phoebe,1,fl29,,
844,24,11,2020,am,two,4,fl29,11240050.AVI,eastern_phoebe_sayornis_phoebe,1,fl29,,
938,22,11,2020,pm,two,8,fl34,11220028.AVI,eastern_phoebe_sayornis_phoebe,1,fl34,,
961,23,11,2020,pm,two,8,fl34,11230051.AVI,eastern_phoebe_sayornis_phoebe,1,fl34,,
962,23,11,2020,pm,two,8,fl34,11230052.AVI,eastern_phoebe_sayornis_phoebe,1,fl34,,
965,24,11,2020,am,two,8,fl34,11240055.AVI,eastern_phoebe_sayornis_phoebe,1,fl34,,
1104,24,11,2020,am,two,0,fl38,11240063.AVI,eastern_phoebe_sayornis_phoebe,1,fl38,,
1325,24,11,2020,pm,three,0,fl36,11240074.AVI,eastern_phoebe_sayornis_phoebe,1,fl36,,
1688,27,11,2020,pm,four,12,fl45,11270059.AVI,eastern_phoebe_sayornis_phoebe,1,fl45,,
1719,24,11,2020,am,four,0,fl47,11230033.AVI,chipping_sparrow_spizella_passerina,1,fl47,,
1720,24,11,2020,am,four,0,fl47,11230033.AVI,chipping_sparrow_spizella_passerina,1,fl47,,
1800,23,11,2020,pm,four,8,fl33,11230022.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
1801,23,11,2020,pm,four,8,fl33,11230022.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
1820,20,11,2020,pm,five,4,fl28,11200004.AVI,eastern_phoebe_sayornis_phoebe,1,fl28,,
1832,24,11,2020,pm,five,4,fl28,11240016.AVI,eastern_phoebe_sayornis_phoebe,1,fl28,,
1833,24,11,2020,pm,five,4,fl28,11240017.AVI,eastern_phoebe_sayornis_phoebe,1,fl28,,
1859,27,11,2020,pm,five,4,fl28,11270043.AVI,eastern_phoebe_sayornis_phoebe,1,fl28,,
1860,27,11,2020,pm,five,4,fl28,11270043.AVI,eastern_phoebe_sayornis_phoebe,1,fl28,,
1898,25,11,2020,am,five,8,fl31,11250037.AVI,eastern_phoebe_sayornis_phoebe,1,fl31,,
1910,27,11,2020,pm,five,8,fl31,11270049.AVI,eastern_phoebe_sayornis_phoebe,1,fl31,,
1918,20,11,2020,pm,five,0,d7,11200008.MP4,eastern_phoebe_sayornis_phoebe,1,53,,
1938,23,11,2020,pm,five,0,d7,11230028.MP4,eastern_phoebe_sayornis_phoebe,1,53,,
1990,20,11,2020,pm,five,12,fl25,11200003.AVI,eastern_phoebe_sayornis_phoebe,1,fl25,,
2717,21,11,2020,pm,eight,0,fl39,11210031.AVI,eastern_phoebe_sayornis_phoebe,1,fl39,,
2748,24,11,2020,am,eight,0,fl39,11240062.AVI,eastern_phoebe_sayornis_phoebe,1,fl39,,
2974,26,11,2020,pm,eight,4,fl59,11260140.AVI,chipping_sparrow_spizella_passerina,1,fl59,,
2978,27,11,2020,am,eight,4,fl59,11270144.AVI,eastern_phoebe_sayornis_phoebe,1,fl59,,
3150,21,11,2020,pm,eight,8,fl49,11210017.AVI,eastern_phoebe_sayornis_phoebe,1,fl49,,
3228,23,11,2020,am,nine,4,fl53,11230012.AVI,chipping_sparrow_spizella_passerina,1,fl53,,
3229,23,11,2020,am,nine,4,fl53,11230012.AVI,pine_warbler_setophaga_pinus,1,fl53,,
3255,26,11,2020,am,nine,8,fl62,11260009.AVI,eastern_phoebe_sayornis_phoebe,1,75,,
3307,27,11,2020,am,nine,12,fl44,11270052.AVI,eastern_phoebe_sayornis_phoebe,1,fl44,,
3490,25,11,2020,pm,ten,4,fl55,11250068.AVI,chipping_sparrow_spizella_passerina,1,fl55,,
3531,22,11,2020,am,ten,12,fl61,11220018.AVI,chipping_sparrow_spizella_passerina,1,d5,,
3991,1,12,2020,pm,one,8,fl24,12010200.AVI,eastern_phoebe_sayornis_phoebe,1,fl24,,
4440,5,12,2020,pm,two,12,fl48,12050410.AVI,eastern_phoebe_sayornis_phoebe,1,fl48,,
4449,28,11,2020,pm,two,4,fl29,11280130.AVI,eastern_phoebe_sayornis_phoebe,1,fl29,,
4686,1,12,2020,am,two,8,fl34,12010196.AVI,eastern_phoebe_sayornis_phoebe,1,fl34,,
4758,3,12,2020,pm,two,8,fl34,12030268.AVI,eastern_phoebe_sayornis_phoebe,1,fl34,,
5045,3,12,2020,am,three,8,fl35,12030196.AVI,northern_cardinal_cardinalis_cardinalis,1,fl35,,
5143,3,12,2020,am,three,4,fl52,12030170.AVI,eastern_phoebe_sayornis_phoebe,1,fl52,,
5224,4,12,2020,pm,four,8,fl33,12040081.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5225,4,12,2020,pm,four,8,fl33,12040081.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5226,4,12,2020,pm,four,8,fl33,12040082.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5227,4,12,2020,pm,four,8,fl33,12040082.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5228,4,12,2020,pm,four,8,fl33,12040083.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5229,4,12,2020,pm,four,8,fl33,12040083.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5230,4,12,2020,pm,four,8,fl33,12040083.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5231,4,12,2020,pm,four,8,fl33,12040083.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5239,5,12,2020,pm,four,8,fl33,12050091.AVI,chipping_sparrow_spizella_passerina,1,fl33,,
5245,4,12,2020,pm,four,4,fl46,12040025.AVI,chipping_sparrow_spizella_passerina,1,fl46,,
5246,4,12,2020,pm,four,4,fl46,12040025.AVI,chipping_sparrow_spizella_passerina,1,fl46,,
5247,4,12,2020,pm,four,4,fl46,12040025.AVI,chipping_sparrow_spizella_passerina,1,fl46,,
5330,4,12,2020,pm,four,0,fl47,12040152.AVI,chipping_sparrow_spizella_passerina,1,fl47,,
5331,4,12,2020,pm,four,0,fl47,12040153.AVI,chipping_sparrow_spizella_passerina,1,fl47,,
5408,4,12,2020,pm,four,12,fl45,12040127.AVI,eastern_phoebe_sayornis_phoebe,1,fl45,,
5409,4,12,2020,pm,four,12,fl45,12040128.AVI,chipping_sparrow_spizella_passerina,1,fl45,,
5410,4,12,2020,pm,four,12,fl45,12040128.AVI,chipping_sparrow_spizella_passerina,1,fl45,,
5411,4,12,2020,pm,four,12,fl45,12040128.AVI,chipping_sparrow_spizella_passerina,1,fl45,,
5412,4,12,2020,pm,four,12,fl45,12040128.AVI,chipping_sparrow_spizella_passerina,1,fl45,,
5413,4,12,2020,pm,four,12,fl45,12040128.AVI,chipping_sparrow_spizella_passerina,1,fl45,,
5489,5,12,2020,am,five,12,fl25,12050112.AVI,eastern_phoebe_sayornis_phoebe,1,fl25,,
5530,1,12,2020,am,five,4,fl28,12010073.AVI,eastern_phoebe_sayornis_phoebe,1,fl28,,
5552,2,12,2020,pm,five,4,fl28,12020095.AVI,eastern_phoebe_sayornis_phoebe,1,fl28,,
5618,2,12,2020,pm,five,8,fl31,12020092.AVI,eastern_phoebe_sayornis_phoebe,1,fl31,,
5647,30,11,2020,pm,five,0,d7,11300094.MP4,eastern_phoebe_sayornis_phoebe,1,53,,
5867,4,12,2020,pm,six,0,fl43,12040163.AVI,eastern_phoebe_sayornis_phoebe,1,fl43,,
5955,1,12,2020,pm,six,4,fl54,12010253.AVI,eastern_phoebe_sayornis_phoebe,1,fl54,,
6191,1,12,2020,am,seven,8,fl32,12010094.AVI,eastern_phoebe_sayornis_phoebe,1,fl32,,
6213,3,12,2020,am,seven,8,fl32,12030116.AVI,eastern_phoebe_sayornis_phoebe,1,fl32,,
6230,4,12,2020,pm,seven,8,fl32,12040133.AVI,eastern_screech_owl_megascops_asio,1,fl32,,
6261,3,12,2020,am,seven,4,fl51,12030052.AVI,eastern_phoebe_sayornis_phoebe,1,fl51,,
6571,29,11,2020,am,eight,0,fl39,11290160.AVI,eastern_phoebe_sayornis_phoebe,1,fl39,,
6602,30,11,2020,pm,eight,0,fl39,11300191.AVI,eastern_phoebe_sayornis_phoebe,1,fl39,,
6633,1,12,2020,pm,eight,0,fl39,12010222.AVI,eastern_phoebe_sayornis_phoebe,1,fl39,,
6755,30,11,2020,pm,eight,4,fl59,11300205.AVI,eastern_phoebe_sayornis_phoebe,1,fl59,,
7071,5,12,2020,am,nine,0,fl21,12050117.MP4,eastern_phoebe_sayornis_phoebe,1,98,,
7099,28,11,2020,am,nine,12,fl44,11280057.AVI,eastern_phoebe_sayornis_phoebe,1,fl44,,
7131,5,12,2020,pm,nine,12,fl44,12050089.AVI,eastern_phoebe_sayornis_phoebe,1,fl44,,
7137,28,11,2020,am,ten,12,fl61,11280043.AVI,eastern_phoebe_sayornis_phoebe,1,d5,,
7156,1,12,2020,pm,ten,12,fl61,12010062.AVI,eastern_phoebe_sayornis_phoebe,1,d5,,
7159,2,12,2020,am,ten,12,fl61,12020065.AVI,eastern_phoebe_sayornis_phoebe,1,d5,,
7161,2,12,2020,pm,ten,12,fl61,12020067.AVI,eastern_phoebe_sayornis_phoebe,1,d5,,
7169,4,12,2020,am,ten,12,fl61,12040075.AVI,eastern_phoebe_sayornis_phoebe,1,d5,,
7185,30,11,2020,pm,ten,8,d6,11300025.MP4,chipping_sparrow_spizella_passerina,1,93,,
7283,4,12,2020,am,ten,4,fl55,12040184.AVI,eastern_phoebe_sayornis_phoebe,1,fl55,,
7367,2,12,2020,am,ten,0,fl50,12020159.AVI,eastern_phoebe_sayornis_phoebe,1,fl50,,
7647,17,12,2020,am,one,4,fl26,12170642.AVI,chipping_sparrow_spizella_passerina,1,fl26,,
7648,17,12,2020,pm,one,4,fl26,12170642.AVI,chipping_sparrow_spizella_passerina,1,fl26,,
7649,17,12,2020,pm,one,4,fl26,12170642.AVI,chipping_sparrow_spizella_passerina,1,fl26,,
7650,17,12,2020,pm,one,4,fl26,12170642.AVI,chipping_sparrow_spizella_passerina,1,fl26,,
7664,17,12,2020,pm,one,4,fl26,12170656.AVI,chipping_sparrow_spizella_passerina,1,fl26,,
7665,17,12,2020,pm,one,4,fl26,12170656.AVI,chipping_sparrow_spizella_passerina,1,fl26,,
7666,17,12,2020,pm,one,4,fl26,12170657.AVI,chipping_sparrow_spizella_passerina,1,fl26,,
7667,17,12,2020,pm,one,4,fl26,12170657.AVI,chipping_sparrow_spizella_passerina,1,fl26,,
7725,19,12,2020,pm,one,4,fl26,12190715.AVI,eastern_phoebe_sayornis_phoebe,1,fl26,,
7811,8,12,2020,pm,one,0,fl18,12080456.MP4,eastern_phoebe_sayornis_phoebe,1,89,,
7957,15,12,2020,pm,one,0,fl18,12150602.MP4,chipping_sparrow_spizella_passerina,1,89,,
7959,16,12,2020,am,one,0,fl18,12160604.MP4,chipping_sparrow_spizella_passerina,1,89,,
7960,16,12,2020,pm,one,0,fl18,12160604.MP4,chipping_sparrow_spizella_passerina,1,89,,
7962,16,12,2020,pm,one,0,fl18,12160606.MP4,chipping_sparrow_spizella_passerina,1,89,,
7963,16,12,2020,pm,one,0,fl18,12160606.MP4,chipping_sparrow_spizella_passerina,1,89,,
7964,16,12,2020,pm,one,0,fl18,12160607.MP4,chipping_sparrow_spizella_passerina,1,89,,
7965,17,12,2020,am,one,0,fl18,12160607.MP4,chipping_sparrow_spizella_passerina,1,89,,
7966,17,12,2020,am,one,0,fl18,12170608.MP4,chipping_sparrow_spizella_passerina,1,89,,
7967,17,12,2020,am,one,0,fl18,12170608.MP4,chipping_sparrow_spizella_passerina,1,89,,
7968,17,12,2020,am,one,0,fl18,12170609.MP4,chipping_sparrow_spizella_passerina,1,89,,
7969,17,12,2020,am,one,0,fl18,12170610.MP4,chipping_sparrow_spizella_passerina,1,89,,
7970,17,12,2020,am,one,0,fl18,12170610.MP4,chipping_sparrow_spizella_passerina,1,89,,
7971,17,12,2020,am,one,0,fl18,12170610.MP4,chipping_sparrow_spizella_passerina,1,89,,
7980,17,12,2020,pm,one,0,fl18,12170619.MP4,chipping_sparrow_spizella_passerina,1,89,,
8204,15,12,2020,pm,one,12,fl27,12150396.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8205,15,12,2020,pm,one,12,fl27,12150396.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8206,15,12,2020,pm,one,12,fl27,12150396.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8207,15,12,2020,pm,one,12,fl27,12150396.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8208,15,12,2020,pm,one,12,fl27,12150396.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8210,16,12,2020,am,one,12,fl27,12160398.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8211,16,12,2020,am,one,12,fl27,12160398.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8212,16,12,2020,am,one,12,fl27,12160399.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8213,16,12,2020,am,one,12,fl27,12160400.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8214,16,12,2020,am,one,12,fl27,12160400.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8215,16,12,2020,am,one,12,fl27,12160400.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8216,16,12,2020,am,one,12,fl27,12160400.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8217,16,12,2020,am,one,12,fl27,12160400.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8218,16,12,2020,am,one,12,fl27,12160400.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8219,16,12,2020,pm,one,12,fl27,12160401.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8220,16,12,2020,pm,one,12,fl27,12160401.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8221,16,12,2020,pm,one,12,fl27,12160401.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8222,16,12,2020,pm,one,12,fl27,12160401.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8223,16,12,2020,pm,one,12,fl27,12160401.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8224,16,12,2020,pm,one,12,fl27,12160401.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8225,16,12,2020,pm,one,12,fl27,12160402.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8226,16,12,2020,pm,one,12,fl27,12160402.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8227,16,12,2020,pm,one,12,fl27,12160402.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8228,16,12,2020,pm,one,12,fl27,12160402.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8229,16,12,2020,pm,one,12,fl27,12160403.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8230,16,12,2020,pm,one,12,fl27,12160403.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8231,16,12,2020,pm,one,12,fl27,12160403.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8232,16,12,2020,pm,one,12,fl27,12160403.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8233,16,12,2020,pm,one,12,fl27,12160403.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8234,17,12,2020,am,one,12,fl27,12160404.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8235,17,12,2020,am,one,12,fl27,12170405.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8236,17,12,2020,am,one,12,fl27,12170405.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8237,17,12,2020,am,one,12,fl27,12170405.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8238,17,12,2020,am,one,12,fl27,12170405.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8239,17,12,2020,am,one,12,fl27,12170405.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8240,17,12,2020,am,one,12,fl27,12170405.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8241,17,12,2020,am,one,12,fl27,12170406.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8242,17,12,2020,am,one,12,fl27,12170407.MP4,eastern_phoebe_sayornis_phoebe,1,fl27,,
8243,17,12,2020,am,one,12,fl27,12170408.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8244,17,12,2020,am,one,12,fl27,12170408.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8245,17,12,2020,am,one,12,fl27,12170408.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8246,17,12,2020,am,one,12,fl27,12170408.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8247,17,12,2020,am,one,12,fl27,12170408.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8248,17,12,2020,am,one,12,fl27,12170408.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
8249,17,12,2020,am,one,12,fl27,12170409.MP4,chipping_sparrow_spizella_passerina,1,fl27,,
