pair,time,trap,seeds,lnseeds
1,1,baited,28,3.33220451
1,1,unbaited,7,1.945910149
2,1,baited,54,3.988984047
2,1,unbaited,3,1.098612289
3,1,baited,197,5.283203729
3,1,unbaited,10,2.302585093
4,1,baited,327,5.789960171
4,1,unbaited,19,2.944438979
5,1,baited,86,4.454347296
5,1,unbaited,7,1.945910149
1,2,baited,197,5.283203729
1,2,unbaited,10,2.302585093
2,2,baited,6,1.791759469
2,2,unbaited,15,2.708050201
3,2,baited,81,4.394449155
3,2,unbaited,96,4.564348191
4,2,baited,1851,7.523481313
4,2,unbaited,34,3.526360525
5,2,baited,151,5.017279837
5,2,unbaited,5,1.609437912
