pair,time,Treatment,rawseeds,Seeds 
1,1,Baited,28,3.33220451
1,1,Control,7,1.945910149
2,1,Baited,54,3.988984047
2,1,Control,3,1.098612289
3,1,Baited,197,5.283203729
3,1,Control,10,2.302585093
4,1,Baited,327,5.789960171
4,1,Control,19,2.944438979
5,1,Baited,86,4.454347296
5,1,Control,7,1.945910149
1,2,Baited,197,5.283203729
1,2,Control,10,2.302585093
2,2,Baited,6,1.791759469
2,2,Control,15,2.708050201
3,2,Baited,81,4.394449155
3,2,Control,96,4.564348191
4,2,Baited,1851,7.523481313
4,2,Control,34,3.526360525
5,2,Baited,151,5.017279837
5,2,Control,5,1.609437912
